ID NUMBER,Building Address,City,State,Zip,PropertyType,Building Name,Latitude,Longitude,Number Of Stories,OPN,Star Rating,Submarket Cluster,Submarket Name,PROJECT NAME
1454,700 W Van Buren St,Chicago,IL,60661,Multi-Family,Platinum Tower,41.8769465,-87.6442886,15,6,4 Star,Downtown Chicago MF,West Loop MF,Loop
1456,701 S Wells St,Chicago,IL,606074640,Multi-Family,Wells Street Tower,41.873117,-87.633247,27,Removed - L yellow,4 Star,Downtown Chicago MF,South Loop MF,Loop
1467,71 W Hubbard St,Chicago,IL,606544603,Multi-Family,AMLI River North,41.8897928,-87.6307078,49,9,5 Star,Downtown Chicago MF,River North MF,River North 
1472,714 S Dearborn St,Chicago,IL,60605,Multi-Family,Rowe Building,41.872999,-87.629362,8,Removed - L yellow,2 Star,Downtown Chicago MF,South Loop MF,Loop
1477,720 W Randolph St,Chicago,IL,606612129,Multi-Family,City View Tower,41.8847995,-87.6464815,13,Removed - WL pink,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1490,73 E Lake St,Chicago,IL,606015904,Multi-Family,73 E Lake,41.885427,-87.625487,42,4,5 Star,Downtown Chicago MF,The Loop MF,Loop
1492,730 S Clark St,Chicago,IL,60605,Multi-Family,Burnham Pointe at Printers Row,41.8731126,-87.6309856,28,Removed - L yellow,5 Star,Downtown Chicago MF,South Loop MF,Loop
1496,731 S Plymouth Ct,Chicago,IL,60605,Multi-Family,Plymouth Court,41.8726692,-87.6283242,7,Removed - L yellow,3 Star,Downtown Chicago MF,South Loop MF,Loop
1498,732 S Financial Pl,Chicago,IL,606051038,Multi-Family,Polk Street Station,41.872495,-87.632823,8,Removed - L yellow,4 Star,Downtown Chicago MF,South Loop MF,Loop
1499,733 S Wells St,Chicago,IL,606074507,Multi-Family,Printers Corner,41.872358,-87.633285,17,Removed - L yellow,5 Star,Downtown Chicago MF,South Loop MF,Loop
1508,740 W Fulton St,Chicago,IL,60661,Multi-Family,,41.8872188,-87.6470697,14,Removed - WL pink,5 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1515,765 W Adams St,Chicago,IL,60661,Multi-Family,Arkadia Tower,41.878881,-87.646819,33,7,5 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1518,769 W Jackson Blvd,Chicago,IL,60661,Multi-Family,,41.877614,-87.646811,6,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1524,8 E Randolph St,Chicago,IL,606013622,Multi-Family,The Residences at the Joffrey Tower,41.8847856,-87.6275167,30,4,3 Star,Downtown Chicago MF,The Loop MF,Loop
