ID NUMBER,Building Address,City,State,Zip,PropertyType,Building Name,Latitude,Longitude,Number Of Stories,OPN,Star Rating,Submarket Cluster,Submarket Name,PROJECT NAME
1081,345 E Wacker Dr,Chicago,IL,606011807,Multi-Family,Coast,41.8872328,-87.6187016,45,4a,5 Star,Downtown Chicago MF,The Loop MF,Loop
1086,35 S Racine Ave,Chicago,IL,60607,Multi-Family,,41.8805814,-87.6568449,6,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1092,360 E Randolph Dr,Chicago,IL,60601,Multi-Family,The Buckingham,41.88482,-87.61787,44,4a,3 Star,Downtown Chicago MF,The Loop MF,Loop
1093,360 E South Water St,Chicago,IL,60601,Multi-Family,The Tides,41.8867101,-87.6179867,51,4a,5 Star,Downtown Chicago MF,The Loop MF,Loop
1096,36-42 S State St,Chicago,IL,606032602,Multi-Family,North America Building,41.880905,-87.628053,19,4,3 Star,Downtown Chicago MF,The Loop MF,Loop
1098,37 S Sangamon St,Chicago,IL,606072617,Multi-Family,,41.8806608,-87.650448,2,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1104,375 E Wacker Dr,Chicago,IL,606015256,Multi-Family,,41.8871587,-87.6180765,1,4a,4 Star,Downtown Chicago MF,The Loop MF,Loop
1111,4 N Aberdeen St,Chicago,IL,60607-200,Multi-Family,4 North Aberdeen Place,41.8819688,-87.654098,4,Removed - WL pink,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1117,400 E South Water St,Chicago,IL,606014021,Multi-Family,The Shoreham The Tides,41.8867595,-87.616748,47,Removed - no color,5 Star,Downtown Chicago MF,The Loop MF,Loop
1118,400 N LaSalle St,Chicago,IL,606548539,Multi-Family,400 N LaSalle Condominiums,41.8897971,-87.6330569,45,8,5 Star,Downtown Chicago MF,River North MF,River North 
1139,1055 W Van Buren,Chicago,IL,60607,Multi-Family,,41.8763208,-87.6547071,32,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1145,407 S Dearborn St,Chicago,IL,606051136,Multi-Family,ARC at Old Colony,41.8766696,-87.6289528,17,5,4 Star,Downtown Chicago MF,The Loop MF,Loop
1152,410 S Morgan St,Chicago,IL,60607,Multi-Family,Automatic Lofts,41.876079,-87.6520164,6,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1161,414-416 N Clark St,Chicago,IL,606544502,Multi-Family,,41.8897797,-87.6313397,3,8,2 Star,Downtown Chicago MF,River North MF,River North 
1173,420 E Waterside Dr,Chicago,IL,60601,Multi-Family,The Regatta,41.8871767,-87.6159299,45,Removed - no color,5 Star,Downtown Chicago MF,The Loop MF,Loop
1180,423-439 S Dearborn St,Chicago,IL,606051106,Multi-Family,The Manhattan Building,41.876049,-87.6290271,16,5,3 Star,Downtown Chicago MF,The Loop MF,Loop
1192,433 N Wells St,Chicago,IL,606545987,Multi-Family,,41.8902013,-87.6338318,7,8,4 Star,Downtown Chicago MF,River North MF,River North 
1200,440 N Wabash Ave,Chicago,IL,606113549,Multi-Family,Plaza 440,41.890326,-87.627042,48,9,4 Star,Downtown Chicago MF,River North MF,River North 
1214,449 N Wells St,Chicago,IL,606544519,Multi-Family,,41.890639,-87.6337567,4,8,2 Star,Downtown Chicago MF,River North MF,River North 
1216,450 E Waterside Dr,Chicago,IL,60601,Multi-Family,The Chandler,41.8871643,-87.6153656,35,Removed - no color,5 Star,Downtown Chicago MF,The Loop MF,Loop
1222,1250 W Van Buren St,Chicago,IL,606072820,Multi-Family,Vanguard Lofts,41.876712,-87.659083,7,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
